IP地址,端口,回源端口,TLS,数据中心,地区,城市,TCP延迟(ms),速度(MB/s)
34.154.203.191,443,443,true,AMS,Europe,Amsterdam,194,6.07
34.65.213.121,443,443,true,FRA,Europe,Frankfurt,171,6.05
34.118.121.186,443,443,true,FRA,Europe,Frankfurt,199,6.01
34.65.208.108,443,443,true,FRA,Europe,Frankfurt,170,6.00
34.154.122.9,443,443,true,FRA,Europe,Frankfurt,173,5.99
34.65.104.142,443,443,true,FRA,Europe,Frankfurt,182,5.98
34.118.70.74,443,443,true,FRA,Europe,Frankfurt,196,5.96
34.118.99.192,443,443,true,AMS,Europe,Amsterdam,187,5.94
34.116.141.210,443,443,true,AMS,Europe,Amsterdam,233,5.92
34.154.29.165,443,443,true,AMS,Europe,Amsterdam,170,5.92
34.118.125.73,443,443,true,FRA,Europe,Frankfurt,197,5.89
34.116.157.9,443,443,true,FRA,Europe,Frankfurt,194,5.87
34.116.177.161,443,443,true,FRA,Europe,Frankfurt,267,5.84
34.116.158.237,443,443,true,FRA,Europe,Frankfurt,180,5.83
34.116.139.71,443,443,true,AMS,Europe,Amsterdam,183,5.79
34.65.147.145,443,443,true,FRA,Europe,Frankfurt,175,5.77
34.65.213.174,443,443,true,FRA,Europe,Frankfurt,172,5.76
34.65.53.65,443,443,true,FRA,Europe,Frankfurt,176,5.76
34.65.209.66,443,443,true,FRA,Europe,Frankfurt,208,5.72
34.65.80.27,443,443,true,CDG,Europe,Paris,179,5.70
35.237.127.69,80,0,false,ATL,North America,Atlanta,218,5.67
34.65.132.213,443,443,true,FRA,Europe,Frankfurt,169,5.66
34.116.166.1,443,443,true,MUC,Europe,Munich,246,5.65
34.154.177.18,443,443,true,FRA,Europe,Frankfurt,173,5.65
34.154.68.100,443,443,true,FRA,Europe,Frankfurt,206,5.62
34.65.112.140,443,443,true,FRA,Europe,Frankfurt,178,5.60
34.65.151.191,443,443,true,FRA,Europe,Frankfurt,177,5.60
34.118.69.104,443,443,true,FRA,Europe,Frankfurt,249,5.59
34.118.55.76,443,443,true,FRA,Europe,Frankfurt,254,5.57
34.116.183.159,443,443,true,FRA,Europe,Frankfurt,187,5.56
34.118.115.155,443,443,true,EWR,North America,Newark,183,5.56
34.116.184.79,443,443,true,FRA,Europe,Frankfurt,182,5.54
34.118.113.53,443,443,true,FRA,Europe,Frankfurt,199,5.50
34.65.180.14,443,443,true,FRA,Europe,Frankfurt,173,5.47
34.116.135.188,443,443,true,FRA,Europe,Frankfurt,194,5.45
